    dgrf90 
 10  6371.2 1990.0
   1  0 -29775.      0.
   1  1  -1848.   5406.
   2  0  -2131.      0.
   2  1   3059.  -2279.
   2  2   1686.   -373.
   3  0   1314.      0.
   3  1  -2239.   -284.
   3  2   1248.    293.
   3  3    802.   -352.
   4  0    939.      0.
   4  1    780.    247.
   4  2    325.   -240.
   4  3   -423.     84.
   4  4    141.   -299.
   5  0   -214.      0.
   5  1    353.     46.
   5  2    245.    154.
   5  3   -109.   -153.
   5  4   -165.    -69.
   5  5    -36.     97.
   6  0     61.      0.
   6  1     65.    -16.
   6  2     59.     82.
   6  3   -178.     69.
   6  4      3.    -52.
   6  5     18.      1.
   6  6    -96.     24.
   7  0     77.      0.
   7  1    -64.    -80.
   7  2      2.    -26.
   7  3     26.      0.
   7  4     -1.     21.
   7  5      5.     17.
   7  6      9.    -23.
   7  7      0.     -4.
   8  0     23.      0.
   8  1      5.     10.
   8  2     -1.    -19.
   8  3    -10.      6.
   8  4    -12.    -22.
   8  5      3.     12.
   8  6      4.     12.
   8  7      2.    -16.
   8  8     -6.    -10.
   9  0      4.      0.
   9  1      9.    -20.
   9  2      1.     15.
   9  3    -12.     11.
   9  4      9.     -7.
   9  5     -4.     -7.
   9  6     -2.      9.
   9  7      7.      8.
   9  8      1.     -7.
   9  9     -6.      2.
  10  0     -3.      0.
  10  1     -4.      2.
  10  2      2.      1.
  10  3     -5.      3.
  10  4     -2.      6.
  10  5      4.     -4.
  10  6      3.      0.
  10  7      1.     -2.
  10  8      3.      3.
  10  9      3.     -1.
  10 10      0.     -6.
