    dgrf95 
 10  6371.2 1995.0
   1  0 -29692.      0.
   1  1  -1784.   5306.
   2  0  -2200.      0.
   2  1   3070.  -2366.
   2  2   1681.   -413.
   3  0   1335.      0.
   3  1  -2267.   -262.
   3  2   1249.    302.
   3  3    759.   -427.
   4  0    940.      0.
   4  1    780.    262.
   4  2    290.   -236.
   4  3   -418.     97.
   4  4    122.   -306.
   5  0   -214.      0.
   5  1    352.     46.
   5  2    235.    165.
   5  3   -118.   -143.
   5  4   -166.    -55.
   5  5    -17.    107.
   6  0     68.      0.
   6  1     67.    -17.
   6  2     68.     72.
   6  3   -170.     67.
   6  4     -1.    -58.
   6  5     19.      1.
   6  6    -93.     36.
   7  0     77.      0.
   7  1    -72.    -69.
   7  2      1.    -25.
   7  3     28.      4.
   7  4      5.     24.
   7  5      4.     17.
   7  6      8.    -24.
   7  7     -2.     -6.
   8  0     25.      0.
   8  1      6.     11.
   8  2     -6.    -21.
   8  3     -9.      8.
   8  4    -14.    -23.
   8  5      9.     15.
   8  6      6.     11.
   8  7     -5.    -16.
   8  8     -7.     -4.
   9  0      4.      0.
   9  1      9.    -20.
   9  2      3.     15.
   9  3    -10.     12.
   9  4      8.     -6.
   9  5     -8.     -8.
   9  6     -1.      8.
   9  7     10.      5.
   9  8     -2.     -8.
   9  9     -8.      3.
  10  0     -3.      0.
  10  1     -6.      1.
  10  2      2.      0.
  10  3     -4.      4.
  10  4     -1.      5.
  10  5      4.     -5.
  10  6      2.     -1.
  10  7      2.     -2.
  10  8      5.      1.
  10  9      1.     -2.
  10 10      0.     -7.
