    dgrf45 
 10  6371.2 1945.0
   1  0 -30594.      0.
   1  1  -2285.   5810.
   2  0  -1244.      0.
   2  1   2990.  -1702.
   2  2   1578.    477.
   3  0   1282.      0.
   3  1  -1834.   -499.
   3  2   1255.    186.
   3  3    913.    -11.
   4  0    944.      0.
   4  1    776.    144.
   4  2    544.   -276.
   4  3   -421.    -55.
   4  4    304.   -178.
   5  0   -253.      0.
   5  1    346.    -12.
   5  2    194.     95.
   5  3    -20.    -67.
   5  4   -142.   -119.
   5  5    -82.     82.
   6  0     59.      0.
   6  1     57.      6.
   6  2      6.    100.
   6  3   -246.     16.
   6  4    -25.     -9.
   6  5     21.    -16.
   6  6   -104.    -39.
   7  0     70.      0.
   7  1    -40.    -45.
   7  2      0.    -18.
   7  3      0.      2.
   7  4    -29.      6.
   7  5    -10.     28.
   7  6     15.    -17.
   7  7     29.    -22.
   8  0     13.      0.
   8  1      7.     12.
   8  2     -8.    -21.
   8  3     -5.    -12.
   8  4      9.     -7.
   8  5      7.      2.
   8  6    -10.     18.
   8  7      7.      3.
   8  8      2.    -11.
   9  0      5.      0.
   9  1    -21.    -27.
   9  2      1.     17.
   9  3    -11.     29.
   9  4      3.     -9.
   9  5     16.      4.
   9  6     -3.      9.
   9  7     -4.      6.
   9  8     -3.      1.
   9  9     -4.      8.
  10  0     -3.      0.
  10  1     11.      5.
  10  2      1.      1.
  10  3      2.    -20.
  10  4     -5.     -1.
  10  5     -1.     -6.
  10  6      8.      6.
  10  7     -1.     -4.
  10  8     -3.     -2.
  10  9      5.      0.
  10 10     -2.     -2.
