    dgrf60 
 10  6371.2 1960.0
   1  0 -30421.      0.
   1  1  -2169.   5791.
   2  0  -1555.      0.
   2  1   3002.  -1967.
   2  2   1590.    206.
   3  0   1302.      0.
   3  1  -1992.   -414.
   3  2   1289.    224.
   3  3    878.   -130.
   4  0    957.      0.
   4  1    800.    135.
   4  2    504.   -278.
   4  3   -394.      3.
   4  4    269.   -255.
   5  0   -222.      0.
   5  1    362.     16.
   5  2    242.    125.
   5  3    -26.   -117.
   5  4   -156.   -114.
   5  5    -63.     81.
   6  0     46.      0.
   6  1     58.    -10.
   6  2      1.     99.
   6  3   -237.     60.
   6  4     -1.    -20.
   6  5     -2.    -11.
   6  6   -113.    -17.
   7  0     67.      0.
   7  1    -56.    -55.
   7  2      5.    -28.
   7  3     15.     -6.
   7  4    -32.      7.
   7  5     -7.     23.
   7  6     17.    -18.
   7  7      8.    -17.
   8  0     15.      0.
   8  1      6.     11.
   8  2     -4.    -14.
   8  3    -11.      7.
   8  4      2.    -18.
   8  5     10.      4.
   8  6     -5.     23.
   8  7     10.      1.
   8  8      8.    -20.
   9  0      4.      0.
   9  1      6.    -18.
   9  2      0.     12.
   9  3     -9.      2.
   9  4      1.      0.
   9  5      4.     -3.
   9  6     -1.      9.
   9  7     -2.      8.
   9  8      3.      0.
   9  9     -1.      5.
  10  0      1.      0.
  10  1     -3.      4.
  10  2      4.      1.
  10  3      0.      0.
  10  4     -1.      2.
  10  5      4.     -5.
  10  6      6.      1.
  10  7      1.     -1.
  10  8     -1.      6.
  10  9      2.      0.
  10 10      0.     -7.
