    dgrf50 
 10  6371.2 1950.0
   1  0 -30554.      0.
   1  1  -2250.   5815.
   2  0  -1341.      0.
   2  1   2998.  -1810.
   2  2   1576.    381.
   3  0   1297.      0.
   3  1  -1889.   -476.
   3  2   1274.    206.
   3  3    896.    -46.
   4  0    954.      0.
   4  1    792.    136.
   4  2    528.   -278.
   4  3   -408.    -37.
   4  4    303.   -210.
   5  0   -240.      0.
   5  1    349.      3.
   5  2    211.    103.
   5  3    -20.    -87.
   5  4   -147.   -122.
   5  5    -76.     80.
   6  0     54.      0.
   6  1     57.     -1.
   6  2      4.     99.
   6  3   -247.     33.
   6  4    -16.    -12.
   6  5     12.    -12.
   6  6   -105.    -30.
   7  0     65.      0.
   7  1    -55.    -35.
   7  2      2.    -17.
   7  3      1.      0.
   7  4    -40.     10.
   7  5     -7.     36.
   7  6      5.    -18.
   7  7     19.    -16.
   8  0     22.      0.
   8  1     15.      5.
   8  2     -4.    -22.
   8  3     -1.      0.
   8  4     11.    -21.
   8  5     15.     -8.
   8  6    -13.     17.
   8  7      5.     -4.
   8  8     -1.    -17.
   9  0      3.      0.
   9  1     -7.    -24.
   9  2     -1.     19.
   9  3    -25.     12.
   9  4     10.      2.
   9  5      5.      2.
   9  6     -5.      8.
   9  7     -2.      8.
   9  8      3.    -11.
   9  9      8.     -7.
  10  0     -8.      0.
  10  1      4.     13.
  10  2     -1.     -2.
  10  3     13.    -10.
  10  4     -4.      2.
  10  5      4.     -3.
  10  6     12.      6.
  10  7      3.     -3.
  10  8      2.      6.
  10  9     10.     11.
  10 10      3.      8.
