    dgrf70 
 10  6371.2 1970.0
   1  0 -30220.      0.
   1  1  -2068.   5737.
   2  0  -1781.      0.
   2  1   3000.  -2047.
   2  2   1611.     25.
   3  0   1287.      0.
   3  1  -2091.   -366.
   3  2   1278.    251.
   3  3    838.   -196.
   4  0    952.      0.
   4  1    800.    167.
   4  2    461.   -266.
   4  3   -395.     26.
   4  4    234.   -279.
   5  0   -216.      0.
   5  1    359.     26.
   5  2    262.    139.
   5  3    -42.   -139.
   5  4   -160.    -91.
   5  5    -56.     83.
   6  0     43.      0.
   6  1     64.    -12.
   6  2     15.    100.
   6  3   -212.     72.
   6  4      2.    -37.
   6  5      3.     -6.
   6  6   -112.      1.
   7  0     72.      0.
   7  1    -57.    -70.
   7  2      1.    -27.
   7  3     14.     -4.
   7  4    -22.      8.
   7  5     -2.     23.
   7  6     13.    -23.
   7  7     -2.    -11.
   8  0     14.      0.
   8  1      6.      7.
   8  2     -2.    -15.
   8  3    -13.      6.
   8  4     -3.    -17.
   8  5      5.      6.
   8  6      0.     21.
   8  7     11.     -6.
   8  8      3.    -16.
   9  0      8.      0.
   9  1     10.    -21.
   9  2      2.     16.
   9  3    -12.      6.
   9  4     10.     -4.
   9  5     -1.     -5.
   9  6      0.     10.
   9  7      3.     11.
   9  8      1.     -2.
   9  9     -1.      1.
  10  0     -3.      0.
  10  1     -3.      1.
  10  2      2.      1.
  10  3     -5.      3.
  10  4     -1.      4.
  10  5      6.     -4.
  10  6      4.      0.
  10  7      1.     -1.
  10  8      0.      3.
  10  9      3.      1.
  10 10     -1.     -4.
