    dgrf00 
 10  6371.2 2000.0
   1  0 -29619.4     0.0
   1  1  -1728.2  5186.1 
   2  0  -2267.7     0.0
   2  1   3068.4 -2481.6
   2  2   1670.9  -458.
   3  0   1339.6     0.0
   3  1  -2288.   -227.6
   3  2   1252.1   293.4
   3  3    714.5  -491.1
   4  0    932.3      .0
   4  1    786.8   272.6 
   4  2    250.   -231.9
   4  3   -403.    119.8 
   4  4    111.3  -303.8
   5  0   -218.8      .0
   5  1    351.4    43.8
   5  2    222.3   171.9
   5  3   -130.4  -133.1
   5  4   -168.6   -39.3
   5  5    -12.9   106.3
   6  0     72.3      .0
   6  1     68.2   -17.4
   6  2     74.2    63.7
   6  3   -160.9    65.1
   6  4     -5.9   -61.2
   6  5     16.9     0.7
   6  6    -90.4    43.8
   7  0     79.       .0
   7  1    -74.    -64.6
   7  2      0.    -24.2
   7  3     33.3     6.2
   7  4      9.1    24.
   7  5      6.9    14.8
   7  6      7.3   -25.4
   7  7     -1.2    -5.8
   8  0     24.4      .0
   8  1      6.6    11.9
   8  2     -9.2   -21.5
   8  3     -7.9     8.5
   8  4    -16.6   -21.5
   8  5      9.1    15.5
   8  6      7.      8.9
   8  7     -7.9   -14.9
   8  8     -7.     -2.1
   9  0      5.       .0
   9  1      9.4   -19.7
   9  2      3.     13.4
   9  3     -8.4    12.5
   9  4      6.3    -6.2
   9  5     -8.9    -8.4
   9  6     -1.5     8.4
   9  7      9.3     3.8
   9  8     -4.3    -8.2
   9  9     -8.2     4.8
  10  0     -2.6      .0
  10  1     -6.      1.7
  10  2      1.7     0.
  10  3     -3.1     4.
  10  4     -0.5     4.9
  10  5      3.7    -5.9
  10  6      1.     -1.2
  10  7      2.     -2.9
  10  8      4.2     0.2
  10  9      0.3    -2.2
  10 10     -1.1    -7.4
