    dgrf55 
 10  6371.2 1955.0
   1  0 -30500.      0.
   1  1  -2215.   5820.
   2  0  -1440.      0.
   2  1   3003.  -1898.
   2  2   1581.    291.
   3  0   1302.      0.
   3  1  -1944.   -462.
   3  2   1288.    216.
   3  3    882.    -83.
   4  0    958.      0.
   4  1    796.    133.
   4  2    510.   -274.
   4  3   -397.    -23.
   4  4    290.   -230.
   5  0   -229.      0.
   5  1    360.     15.
   5  2    230.    110.
   5  3    -23.    -98.
   5  4   -152.   -121.
   5  5    -69.     78.
   6  0     47.      0.
   6  1     57.     -9.
   6  2      3.     96.
   6  3   -247.     48.
   6  4     -8.    -16.
   6  5      7.    -12.
   6  6   -107.    -24.
   7  0     65.      0.
   7  1    -56.    -50.
   7  2      2.    -24.
   7  3     10.     -4.
   7  4    -32.      8.
   7  5    -11.     28.
   7  6      9.    -20.
   7  7     18.    -18.
   8  0     11.      0.
   8  1      9.     10.
   8  2     -6.    -15.
   8  3    -14.      5.
   8  4      6.    -23.
   8  5     10.      3.
   8  6     -7.     23.
   8  7      6.     -4.
   8  8      9.    -13.
   9  0      4.      0.
   9  1      9.    -11.
   9  2     -4.     12.
   9  3     -5.      7.
   9  4      2.      6.
   9  5      4.     -2.
   9  6      1.     10.
   9  7      2.      7.
   9  8      2.     -6.
   9  9      5.      5.
  10  0     -3.      0.
  10  1     -5.     -4.
  10  2     -1.      0.
  10  3      2.     -8.
  10  4     -3.     -2.
  10  5      7.     -4.
  10  6      4.      1.
  10  7     -2.     -3.
  10  8      6.      7.
  10  9     -2.     -1.
  10 10      0.     -3.
