    dgrf75 
 10  6371.2 1975.0
   1  0 -30100.      0.
   1  1  -2013.   5675.
   2  0  -1902.      0.
   2  1   3010.  -2067.
   2  2   1632.    -68.
   3  0   1276.      0.
   3  1  -2144.   -333.
   3  2   1260.    262.
   3  3    830.   -223.
   4  0    946.      0.
   4  1    791.    191.
   4  2    438.   -265.
   4  3   -405.     39.
   4  4    216.   -288.
   5  0   -218.      0.
   5  1    356.     31.
   5  2    264.    148.
   5  3    -59.   -152.
   5  4   -159.    -83.
   5  5    -49.     88.
   6  0     45.      0.
   6  1     66.    -13.
   6  2     28.     99.
   6  3   -198.     75.
   6  4      1.    -41.
   6  5      6.     -4.
   6  6   -111.     11.
   7  0     71.      0.
   7  1    -56.    -77.
   7  2      1.    -26.
   7  3     16.     -5.
   7  4    -14.     10.
   7  5      0.     22.
   7  6     12.    -23.
   7  7     -5.    -12.
   8  0     14.      0.
   8  1      6.      6.
   8  2     -1.    -16.
   8  3    -12.      4.
   8  4     -8.    -19.
   8  5      4.      6.
   8  6      0.     18.
   8  7     10.    -10.
   8  8      1.    -17.
   9  0      7.      0.
   9  1     10.    -21.
   9  2      2.     16.
   9  3    -12.      7.
   9  4     10.     -4.
   9  5     -1.     -5.
   9  6     -1.     10.
   9  7      4.     11.
   9  8      1.     -3.
   9  9     -2.      1.
  10  0     -3.      0.
  10  1     -3.      1.
  10  2      2.      1.
  10  3     -5.      3.
  10  4     -2.      4.
  10  5      5.     -4.
  10  6      4.     -1.
  10  7      1.     -1.
  10  8      0.      3.
  10  9      3.      1.
  10 10     -1.     -5.
