    dgrf85 
 10  6371.2 1985.0
   1  0 -29873.      0.
   1  1  -1905.   5500.
   2  0  -2072.      0.
   2  1   3044.  -2197.
   2  2   1687.   -306.
   3  0   1296.      0.
   3  1  -2208.   -310.
   3  2   1247.    284.
   3  3    829.   -297.
   4  0    936.      0.
   4  1    780.    232.
   4  2    361.   -249.
   4  3   -424.     69.
   4  4    170.   -297.
   5  0   -214.      0.
   5  1    355.     47.
   5  2    253.    150.
   5  3    -93.   -154.
   5  4   -164.    -75.
   5  5    -46.     95.
   6  0     53.      0.
   6  1     65.    -16.
   6  2     51.     88.
   6  3   -185.     69.
   6  4      4.    -48.
   6  5     16.     -1.
   6  6   -102.     21.
   7  0     74.      0.
   7  1    -62.    -83.
   7  2      3.    -27.
   7  3     24.     -2.
   7  4     -6.     20.
   7  5      4.     17.
   7  6     10.    -23.
   7  7      0.     -7.
   8  0     21.      0.
   8  1      6.      8.
   8  2      0.    -19.
   8  3    -11.      5.
   8  4     -9.    -23.
   8  5      4.     11.
   8  6      4.     14.
   8  7      4.    -15.
   8  8     -4.    -11.
   9  0      5.      0.
   9  1     10.    -21.
   9  2      1.     15.
   9  3    -12.      9.
   9  4      9.     -6.
   9  5     -3.     -6.
   9  6     -1.      9.
   9  7      7.      9.
   9  8      1.     -7.
   9  9     -5.      2.
  10  0     -4.      0.
  10  1     -4.      1.
  10  2      3.      0.
  10  3     -5.      3.
  10  4     -2.      6.
  10  5      5.     -4.
  10  6      3.      0.
  10  7      1.     -1.
  10  8      2.      4.
  10  9      3.      0.
  10 10      0.     -6.
