    dgrf65 
 10  6371.2 1965.0
   1  0 -30334.      0.
   1  1  -2119.   5776.
   2  0  -1662.      0.
   2  1   2997.  -2016.
   2  2   1594.    114.
   3  0   1297.      0.
   3  1  -2038.   -404.
   3  2   1292.    240.
   3  3    856.   -165.
   4  0    957.      0.
   4  1    804.    148.
   4  2    479.   -269.
   4  3   -390.     13.
   4  4    252.   -269.
   5  0   -219.      0.
   5  1    358.     19.
   5  2    254.    128.
   5  3    -31.   -126.
   5  4   -157.    -97.
   5  5    -62.     81.
   6  0     45.      0.
   6  1     61.    -11.
   6  2      8.    100.
   6  3   -228.     68.
   6  4      4.    -32.
   6  5      1.     -8.
   6  6   -111.     -7.
   7  0     75.      0.
   7  1    -57.    -61.
   7  2      4.    -27.
   7  3     13.     -2.
   7  4    -26.      6.
   7  5     -6.     26.
   7  6     13.    -23.
   7  7      1.    -12.
   8  0     13.      0.
   8  1      5.      7.
   8  2     -4.    -12.
   8  3    -14.      9.
   8  4      0.    -16.
   8  5      8.      4.
   8  6     -1.     24.
   8  7     11.     -3.
   8  8      4.    -17.
   9  0      8.      0.
   9  1     10.    -22.
   9  2      2.     15.
   9  3    -13.      7.
   9  4     10.     -4.
   9  5     -1.     -5.
   9  6     -1.     10.
   9  7      5.     10.
   9  8      1.     -4.
   9  9     -2.      1.
  10  0     -2.      0.
  10  1     -3.      2.
  10  2      2.      1.
  10  3     -5.      2.
  10  4     -2.      6.
  10  5      4.     -4.
  10  6      4.      0.
  10  7      0.     -2.
  10  8      2.      3.
  10  9      2.      0.
  10 10      0.     -6.
